id;label;w1;w2;w3;w4;w5;pos1;pos2;pos3;pos4;pos5;lemma1;lemma2;lemma3;lemma4;lemma5;index1;index2;index3;index4;index5;comments;full fragment
50214;simple past;Lived;;;;;VVD;;;;;live;;;;;12;;;;;;The Boy Who Lived
50563;simple past;were;;;;;VBD;;;;;be;;;;;81;;;;;;Mr and Mrs Dursley , of number four , Privet Drive , were proud to say that they were perfectly normal , thank you very much .
50564;simple past;were;;;;;VBD;;;;;be;;;;;53;;;;;;Mr and Mrs Dursley , of number four , Privet Drive , were proud to say that they were perfectly normal , thank you very much .
56669;simple past;was;;;;;VBD;;;;;be;;;;;3;;;;;;It was Quirrell .
50279;simple past;didn;'t;hold;;;VVD;RB;VV;;;do;n't;hold;;;109;114;117;;;;They were the last people you 'd expect to be involved in anything strange or mysterious , because they just didn 't hold with such nonsense .
50280;future in the past;'d;expect;;;;MD;VV;;;;will;expect;;;;30;33;;;;;They were the last people you 'd expect to be involved in anything strange or mysterious , because they just didn 't hold with such nonsense .
50281;simple past;were;;;;;VBD;;;;;be;;;;;5;;;;;;They were the last people you 'd expect to be involved in anything strange or mysterious , because they just didn 't hold with such nonsense .
50572;simple past;made;;;;;VVD;;;;;make;;;;;63;;;;;;Mr Dursley was the director of a firm called Grunnings , which made drills .
50573;simple past;was;;;;;VBD;;;;;be;;;;;11;;;;;;Mr Dursley was the director of a firm called Grunnings , which made drills .
56557;simple past;gasped;;;;;VVD;;;;;gasp;;;;;10;;;;;;‘ You ! ’ gasped Harry .
